,Countries,Raw_Score_08,GHI_08,Average dietary energy supply adequacy,Average value of food production,"Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers",Average protein supply,Average supply of protein of animal origin,Percent of paved roads over total roads,Road density (per 100 square km of land area),Rail lines density (per 100 square km of land area),Gross domestic product per capita (in purchasing power equivalent),Domestic food price level index,Prevalence of undernourishment,Depth of the food deficit,Prevalence of food inadequacy,Cereal import dependecy ratio,Percent of arable land equipped for irrigation,Value of food imports in total merchandise exports,Political stability and absence of violence/terrorism,Domestic food price volatility index,Per capita food production variability,Per capita food supply variability,Percentage of population with access to improved water sources,Percentage of population with access to sanitation facilities,Percentage of children under 5 years of age affected by wasting,Percentage of children under 5 years of age who are stunted,Percentage of children under 5 years of age who are underweight,Prevalence of anaemia among pregnant women,Prevalence of anaemia among children under 5 years of age,undernourished,wasting,stunting,underfive,score
84,Nepal,20.6,3,118,178,71,64,10,53.9,13.5,,1860.6,8.58,11.6,74,18.6,2.6,57.8,49,-1.84,11.8,5.2,19,85.1,34.7,,,,46.7,55,17,12.7,49.3,6,31.6
85,Nicaragua,12.8,2,111,225,51,64,19,11.7,16.4,,4113.1,4.43,21,155,29,33.9,11.3,34,-0.21,9.6,6.4,21,83.7,62.7,,,,21.3,17.8,24.3,0.3,18.8,3.2,17.8
86,Niger,32.4,30,122,184,62,80,16,20.6,1.5,,823.7,6.48,11.8,71,17.3,7,0.6,26,-0.67,15.6,9.2,33,51.9,8.8,,,,58.9,78.6,15.4,12.4,4.94.8,17.3,42.8
87,Nigeria,18.4,2,126,202,65,64,10,,,,4686.6,6.27,6,36,10.3,17.6,0.9,6,-1.86,14.5,8.2,44,61.2,31.2,14.4,41,26.7,59.5,73,7.2,12.3,42.9,15.9,35.2
88,"Korea, Democratic People's Republic of",18.8,2,88,143,68,56,10,,,,,,41,333,55.9,11,60.8,12,0.54,,7.4,29,99.7,76.1,,,,28.7,33,34.2,8.4.9,43.1,3.3,32.4
89,Oman,NA,NA,126,131,37,88,47,43.5,17.3,,46739.8,3.44,6.7,48,12.6,94.9,100,6,0.92,6.6,13.5,15,90.1,95.9,,,,35.6,41.8,8.6,6.3,13,1.3,11.4
90,Pakistan,21.7,3,108,195,49,63,26,67.5,32.5,1,4287.4,6.86,21.8,167,29.8,-5.6,68.4,17,-2.57,11.5,4.2,38,90.1,51.2,,,,48.4,58.3,24.7,14.1,44.4.9,10.1,38.3
91,Panama,8.9,1,112,242,45,74,39,38.1,18.2,,14253,2.81,16.4,116,26,70.2,5.8,72,-0.08,5.7,8.4,59,92.4,71.2,1.2,19.1,3.9,29.9,33,23.8,1.3,22.2,2.3,18.1
92,Papua New Guinea,NA,NA,,,,,,,,,1984.7,,,,,96.5,,8,-0.63,,7.5,,38.3,19,,,,38.8,44.1,0,4.4,43.9,7.4.9,0
93,Paraguay,7.9,1,110,646,44,65,30,14.6,7.8,,6892.4,4.42,12.3,84,20.8,-163.8,2.2,8,-0.68,17.8,32.3,70,87,80,,,,31.8,25.4,10.7,1.1,17.4.9,2.9,12
